Id,Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
3733,Job Opening for Content Writer for Navi Arizona Location.,1 - 3 yrs,Content Writing| SEO Writing,Other,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Technical Content Developer
3735,Franchisee Acquisition Equity,2 - 6 yrs,Equity Sales| Equity Manager| Franchisee Acquisition| Acquiring( Franchisee | Sub brokers| Acquiring( Franchisee| Franchisees| HNI client meets| Business partner| Relationship Management,Retail Sales,Baltimore,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
3736,IT Manager,3 - 8 yrs,Computer hardware| Team management| Tracking| Policies| WAN| LAN| Tools| IT operations| System monitoring| Capacity planning,Admin/Maintenance/Security/Datawarehousing,Baltimore,"IT Software - Network Administration , Security","IT-Software, Software Services",IT/Networking-Manager
3738,Senior Manager- Pre Sales Capital Market,10 - 14 yrs,rfp| presales| rfi| bid management| rfx| project management| solution design| proposals| bidding| Proposal Writing,Pre Sales,Baltimore,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",Pre Sales Consultant
3739,Mysql Engineer - Eda/sql,4 - 8 yrs,MySQL| EDA| SQL| MongoDB| Open Source| DB| Unix,Programming & Design,Baltimore,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
3740,AWS Architect - Data & Analytics,1 - 4 yrs,Data Analytics| Big Data,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3741,Most Urgent Vacancy For Production and Planning-garments-kolkata,2 - 5 yrs,PPC| Production Planning Control| Control Plan,Production/Manufacturing/Maintenance,Baltimore,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Production Manager
3742,Business Development Executive - Arizona(female),2 - 6 yrs,Lead Generation| Inhouse Sales| Cold Calling| Business Development| Interpersonal Skills| Communication,Retail Sales,Baltimore,"Sales , Retail , Business Development","Ceramics, Sanitary ware",Sales/Business Development Manager
3743,Consultant Ii/senior Consultant - Sas/r - Iit/isi/dse,1 - 4 yrs,SAS| Data Analytics| Statistics| Analytics,Analytics & BI,Baltimore,Analytics & Business Intelligence,"Banking, Financial Services, Broking",Data Analyst
3744,Hiring for senior SEO Executive....International Bpo,0 - 2 yrs,Analytics| Auditing| HTML| Link building| Algorithms| Keyword research| Search engine| Senior SEO Executive| International BPO| Guest,Admin/Maintenance/Security/Datawarehousing,Baltimore,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
3745,Area Sales Manager,5 - 10 yrs,marketing executive| distributors| Area sales| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,Baltimore,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
3746,TL / PL - GPU Programming,5 - 10 yrs,development| algorithms| tl| image processing| ds| ph| be| design| b tech| in design,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
3747,Business Relationship Partner,2 - 7 yrs,Customer acquisition| MIS reporting| business acquisition| Operational risk| Finance| Relationship| Banking| Operations| Transaction banking| Auditing,Retail/Personal Banking,Baltimore,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
3748,Salesforce Developer/ Lead/ Architect - Lightning Platform Development,10 - 14 yrs,Business Solutions| Force.com| Apex| Salesforce,Programming & Design,Baltimore,"IT Software - ERP , CRM","IT-Software, Software Services",Software Developer
3749,Professor- MEDICAL & ALLIED SCIENCES,7 - 10 yrs,Counselor| Teaching| Mentor| Trainer| Advisor,University Level,Baltimore,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
3750,Delv Senior Software Eng,7 - 10 Years,Javascript|JQuery|Ajax|Angularjs|JSON|CSS|Html5|Spring Boot|Rest|Web Services,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
3751,"Sales Officer In Axis Bank Chandigarh, Haryana, HP",1 - 2 Years,casa sales executive|casa sales officer|casa|casa business development executive|business development|sales|banking,Retail Sales,Baltimore,"Sales , Retail , Business Development",Banking / Financial Services / Broking,Sales Executive/Officer
3752,Embedded Firmware Engineer,1 - 2 yrs,Automation| C++| PCB designing| RTOS| rest| development| testing| it| monitoring| SPI| tools| Linux| Analytical| Analog| design| Firmware| Sensors| support| embedded| email| hardware,Programming & Design,Baltimore,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
3753,Junior Linux/c++ Developer - Data Structure/sqlite,1 - 5 yrs,C++| Multithreading| Linux| Data Structures| SQLite| Memory Management| Algorithm| Data Structure,Programming & Design,Baltimore,IT Software - System Programming,"IT-Software, Software Services",Software Developer
3754,Senior Engineer C&I ( TC ),10 - 14 yrs,Copyright| Apr| C| Senior| Mechanical| Engineering Design| SPI| Vendor coordination| Petrochemical| Data sheets,Engineering Design,Baltimore,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Senior Design Engineer
3755,Development Lead,4 - 9 yrs,Production support| Oracle| SQL| Core Java| Multithreading| Postgresql| MySQL| Data structures| Test cases| Information technology,Programming & Design,Baltimore,IT Software - Client/Server Programming,"Education, Teaching, Training",Team Lead/Technical Lead
3756,Take A Dynamic Approach To Your Career! Hurry up Freshers,0 - 2 yrs,bde| Promotions| bdm| trainee| business development manager| Sales Promotion| Marketing| fresher| trainer| Business Development Executive| diploma,Other,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Fresher
3757,Hurry!Urgent Opening For CCE In International BPO,0 - 3 yrs,Outbound| Customer Care Executive| Sales| Issue| Spot| Antivirus| Software| Technical support| International BPO,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3758,Marketing Executive- Hyderabad,0 - 3 yrs,FMCG Marketing| Promotions| Events| Communications skills| Brand Promotion| Marketing Executive| Presentation skills| Ms office,Advertising,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Events/Promotion Executive
3759,Urgent Opening for Java Full Stack Developer_early Joiners Preferred,3 - 6 yrs,HTML| Javascript| Web Services| Web Technologies| Java| Front End| Web Application| Software Testing| Docker| Scalability,Other,Baltimore,Analytics & Business Intelligence,"IT-Software, Software Services",Other
3760,Desktop Support Engineer/remote Desktop Engineer,1 - 5 yrs,Desktop Support Engineer| desktop engineer| customer support engineer| Remote Support,Technical Support,Baltimore,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician
3761,Web Developer (Fresher/Experienced),0 - 2 yrs,c++| C| ux| mobile| HTML| javascript| jquery| web| design| MySQL| JavaScript| asp.net| php| html| developer| programming,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3762,Senior Firmware Developer,5 - 6 yrs,RTOS| Embedded C| Microcontrollers| Linux| Device Driver| Wi - Fi| Zigbee| Embedded| Embedded Development| Communication Protocol| Firmware Development| IoT,Programming & Design,Baltimore,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
3763,Graphic Designer,1 - 2 yrs,graphic designing| logo design| brochures| illustrator| corel draw| special effects| visual design| animation| video editing,Creative,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Graphic Designer
3765,Urgent Hiring for CCE Profile,0 - 1 yrs,cce| bpo| communication skills| voice based process,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3766,Business Development Manager,5 - 9 yrs,Retail| Telecom sales| Business Development Manager| Channel sales| FMCG sales| Corporate| E-commerce| Logistics,HR/ Recruitment / IR,Baltimore,"HR , Recruitment , Administration , IR",IT-Hardware & Networking,Training Manager
3767,JDA Technical Consultant,8 - 10 yrs,JDA| PLSQL| Oracle| Oracle PL| SQL,System Design/Implementation/ERP/CRM,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Outside Technical Consultant
3768,"Tech Lead , ETL / AbInitio , RegInsight",8 - 10 yrs,Oracle| Linux| Ab Initio| Coding| Debugging| Unix shell scripting| Change management| Scheduling| Software development life cycle| orchestration,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
3770,Looking For Java Developer in Hyderabad / Bangalore/ Arizona,4 - 9 yrs,spring| spring boot| rest| java| web services| j2ee| core java| soap| architecture,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3771,Investigator Payment Specialist,5 - 8 yrs,Technical Documentation| Technical Support| Strong Interpersonal Skills| Process Improvement Initiatives| External Communications| Standard Operating Procedures| Issue Resolution,Drug Regulatory Affairs/Documentation,Baltimore,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Documentation/Medical Writing
3772,ReactJs Developer,2 - 7 yrs,Javascript| JSON| Front end| DOM| GIT| Mercurial| SVN| Web technologies| Translation| Usage,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3773,Content Writer,1 - 6 yrs,Content Writer,Content Development,Baltimore,"Journalism , Editing , Content","IT-Software, Software Services",Content Developer
3774,"Senior Business Analyst,- IT Service Managment",5 - 10 yrs,Computer science| IT procurement| Business Analyst| Project management| Analytical| Market intelligence| ITSM| Portfolio management| Operations| Analytics,System Design/Implementation/ERP/CRM,Baltimore,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Business Analyst
3775,Assistant Manager - Digital Product Finance - Prime,2 - 3 yrs,Campaign management| Lead management,Retail Sales,Baltimore,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
3776,BPO Executive,0 - 1 yrs,Customer support| Customer service| Call Center Executive| Voice process| Complaint handling| Bpo voice| BPO Executive,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
3777,Executive - Corporate Affairs,0 - 5 yrs,Presentation Skills| Communication Skills| Excel| Typing| Outlook| cabin crew| flight attendant| MS Office Word| Corporate Affairs,Corporate Planning/Consulting/Strategy,Baltimore,"Strategy , Management Consulting , Corporate Planning","Construction, Engineering, Cement, Metals",Corporate Planning/Strategy Manager
3778,Digital Marketing,2 - 7 yrs,Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Marketing,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
3779,"Call Center Executive Salary Rs. 10000, per Month Commission Minimum R",1 - 5 yrs,Call Center Executive,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
3781,Ambassador Coach,3 - 8 yrs,Mail| Strong analytical skills| Outbound sales| Customer service| Management| Business Executive| Sales management| Coach| Recruitment| WHO,Institutional Sales,Baltimore,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales Executive/Officer
3782,Hiring for Assistant Merchandise Buyer,1 - 5 yrs,customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development,Retail Sales,Baltimore,"Sales , Retail , Business Development","Recruitment, Staffing",Merchandiser
3783,Helpdesk Coordinator Help Desk Executive,1 - 5 Years,Communication Skills|service desk cordinator|Service Desk|help desk Cordinator|SLA Management,Technical Support,Baltimore,"IT Hardware , Technical Support , Telecom Engineering",BPO / Call Centre / ITES,Customer Support Engineer/Technician
3784,Collection Executive,0 - 1 yrs,BPO| Telecom| Telecalling| Customer support| Collection Executive,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
3785,Customer Care Excutive(Voice Process) - Florida,0 - 1 yrs,Inbound Voice Process| Customer Care Executive| Fresher| Voice,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Telecalling/Telemarketing Executive
3786,Manager - Analytics,3 - 8 yrs,advanced analytics| senior management| design development| customer management| vendor selection| portfolio management| data architecture| stress testing| big data| cross selling,Analytics & BI,Baltimore,Analytics & Business Intelligence,"Banking, Financial Services, Broking",Analytics Manager
3787,ACN – Digital – Analytics – Operations Analytics Analyst,0 - 2 Years,project management|people management|operations|digital analytics|data management|supply chain|management systems|Machine learning|SAS|SQL|VBA|Tableau|Qlik|Spotfire,Analytics & BI,Baltimore,Analytics & Business Intelligence,IT-Software / Software Services,Data Analyst
3788,.Net Developer - Powerbuilder,4 - 8 yrs,CSS| VB.NET| XML| C#.Net| Javascript| ASP.Net| HTML| Visual Studio| Web Designing| Ajax,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3789,Immediate Hiring For International BPO/ Captive UNIT,0 - 5 yrs,International BPO| Captive Unit| Voice Process| International Voice Process| Customer Service| Customer Care| Customer Care Executive| BPO| international call center| call center executive| Communication Skills| Voice| UK SHIFTS| US SHIFTS,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3790,Training Coordinator,5 - 8 yrs,Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Teachers,Baltimore,"Teaching , Education , Training , Counselling","Recruitment, Staffing",Counselor
3791,"Software Engineer, Senior Software Engineer,",2 - 6 yrs,c#,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3792,"Job Opening for Wlan Testing,hyderabad",7 - 12 Years,802.11|wifi|wlan testing|wireless testing|wifi testing,Programming & Design,Baltimore,IT Software - QA & Testing,IT-Software / Software Services,Testing Engineer
3793,Tivoli/ Netcool Support Engineer - Data Warehousing,3 - 8 yrs,itm| performance tuning| data warehousing| tivoli| netcool omnibus| middleware,Admin/Maintenance/Security/Datawarehousing,Baltimore,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Technical Support Engineer
3794,US IT Recruiter - Doyensys,2 - 3 yrs,ATS| Screening| Time Management| C2C| Searching| Sourcing| US IT Recruitment| W2| Interviewing| VMS,HR/ Recruitment / IR,Baltimore,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
3795,System Admin - Arizona,1 - 3 yrs,C|Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Admin/Maintenance/Security/Datawarehousing,Baltimore,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",System Administrator
3796,Sales Manager (lonavala),4 - 5 yrs,sales operations| financial analysis| salesforce| sales management| manpower handling| interpersonal skills| problem solving| Villas,Channel Sales,Baltimore,"Sales , Retail , Business Development","Real Estate, Property",Sales / BD Manager
3797,Field Sales Associate For Education    Fresher & Exp Apply,0 - 5 yrs,marketing| education sales| freshers| Field Sales| business development| sales associate| mba| sales| direct sales,Retail Sales,Baltimore,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
3798,Service Management,2 - 6 yrs,Cost reduction| Continuous improvement| Business process| Business operations| Service management| infrastructure security| professional services| Strategy consulting| Cloud Applications| Process operations,Senior Management,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
3799,Sr. Accountant,9 - 14 yrs,Income tax| VAT| Taxation| Payroll| Labour laws| Consulting| Book Keeping| SAGE| Tax returns| Recruitment,Accounts,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
3800,Training Co - ordinator,4 - 9 yrs,Training| Analytical skills| Faculty| English language| Target| Training Coordinator| top| Business Executive| Logistics,Sales Support,Baltimore,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
3801,Php Developer,1 - 3 yrs,Javascript| Jquery| Senior Php Programmer,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
3802,SAP Basis Consultant,3 - 5 yrs,basis administration| sap basis consultant| sap basis| hana| communication skills,System Design/Implementation/ERP/CRM,Baltimore,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
3804,Chartered Accountant Manager- New York Engg. Manufacturing co.,10 - 12 yrs,chartered accountant| MIS Preparation| tds| accountancy| accounting| direct tax| finance| indirect taxation,Accounts,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Chartered Accountant
3805,SR. Associate - Projects,2 - 4 yrs,XML| JSON| CSS3| GIT| Subject Matter Expert| CSS| professional services| Javascript| html5,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3807,Industrial Engineer,3 - 8 yrs,analytics| Industrial Engineering| Production| Data Analysis| Production Engineering| statistical analysis,Production/Manufacturing/Maintenance,Baltimore,"Production , Manufacturing , Maintenance","Export, Import",Industrial Engineer
3808,Accounts Executive,2 - 4 yrs,accounts assistant| accountant| Accounts Executive| finance manager| accounts manager,Accounts,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
3809,Executive - Contract Manufacturing,4 - 8 yrs,Production| Quality Assurance Systems| Quality Control| Tablets| GMP| Contract Manufacturing| Pharma| Maintenance| Bmr| Quality Standards,Production/Manufacturing/Maintenance,Baltimore,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Project Manager-Production/Manufacturing/Maintenance
3810,Lab Engineer,5 - 10 yrs,3D| Administration| Laser cutting| Scheduling| Logistics management| Process layout| Vendor| microsoft| Machinery| Inventory,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
3811,Manager-data Analysis & Reporting(tableau&sql),6 - 8 Years,data extraction|tableau|data analysis|data analytics|automation tools|data governance|team management skills|reporting|Risk Management|sql,"EXL (Nasdaq:EXLS) is a leading business process solutions company that helps companies drive business impact and adapt faster to the changing global marketplace. EXL provides operations management, embedded analytics and technology platforms to organizations in the banking and financial services, healthcare, insurance, utilities, transportation and logistics, and travel industries. With more than 21,000 people around the world, we work with our clients as strategic partners to execute operations, identify opportunities to gain a competitive edge, and create new channels for growth and savings. Headquartered in New York and operational since 1999, EXL is present in the U.S., U.K., Singapore, Romania, the Philippines, India, Germany, Czech Republic and Bulgaria. For more information, visit www.exlservice.com.",Baltimore,Other,KPO / Research / Analytics,"EXL (Nasdaq:EXLS) is a leading business process solutions company that helps companies drive business impact and adapt faster to the changing global marketplace. EXL provides operations management, embedded analytics and technology platforms to organizations in the banking and financial services, healthcare, insurance, utilities, transportation and logistics, and travel industries. With more than 21,000 people around the world, we work with our clients as strategic partners to execute operations, identify opportunities to gain a competitive edge, and create new channels for growth and savings. Headquartered in New York and operational since 1999, EXL is present in the U.S., U.K., Singapore, Romania, the Philippines, India, Germany, Czech Republic and Bulgaria. For more information, visit www.exlservice.com."
3812,Project Manager,8 - 10 yrs,Civil| Technical| Project management| Monitoring| Manager Quality Assurance| Civil engineering| Labour| Production management| Material procurement| Engineering projects,Site Engineering,Baltimore,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",Construction-Construction Management
3813,HR Team Lead: Statutory Compliance,5 - 10 yrs,Team management| Networking| Staffing| Labour laws| Compliance management| Hotel management| Corporate| Statutory compliance| korean| Catering,HR/ Recruitment / IR,Baltimore,"HR , Recruitment , Administration , IR","Travel , Hotels , Restaurants , Airlines , Railways",HR Manager
3814,Hiring Freshers@google- Risk Management Process,0 - 3 yrs,Communication Skills| Non Voice| Verbal Communication,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3815,SOC Pre Silicon Verification Engineer,8 - 12 yrs,USB| Ethernet| System verilog| Computer science| Image processing| Simulation| Test planning| PCIE| Project planning| UVM,Programming & Design,Baltimore,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead
3816,Content Developer (academic Content) - WT E Books,0 - 5 yrs,content development| Content| Proof Reader| Content Developer| Writing| Content Writer| Subject Matter Expert| Content Writing| proof reading,Content Development,Baltimore,"Journalism , Editing , Content",Publishing,Content Developer
3817,"Manager Indirect Taxation, Manager Direct Taxation,taxation Executive",2 - 5 yrs,tds| excise| vat| auditing| tax| direct tax| stpi| tax audit| indirect taxation| transfer pricing| fresher| international taxation| service tax| sales tax| direct taxation| corporate tax| tp| taxation| corporate taxation| finance,Accounts,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Automobile, Auto Anciliary, Auto Components",Taxation(Direct) Manager
3818,IT Architect,2 - 7 yrs,development| soa| consulting| information technology| front end| problem solving| methods| life cycle| formulation| it,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Technical Architect
3819,renowned Interntional BPO- Inbound,2 - 7 yrs,BPO| Technical support| Outbound| Troubleshooting| Antivirus| International BPO| iPhone| Inbound calls,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3820,Brand Manager - Personal Care Domain,4 - 7 yrs,FMCG Marketing| Brand Management| Trade Marketing| Media Buying| Media Planning| Marketing,Marketing,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager
3821,Operation Manager- Managing Transport Services,4 - 6 yrs,Communication Skills| Client Meeting| People Management| Coordination Skills| Operations| Supply Chain,Operations,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Operations Manager
3822,Director Statutory Audit_New Jersey,10 - 20 yrs,auditing| statutory audit| ifrs| Assurance| Stat Audit| Indian Gaap| Audit,Finance/Audit,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Strategy, Management Consulting Firms",Audit Manager
3823,Data Engineer,2 - 5 yrs,Python| Six Sigma| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,Baltimore,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Database Architect/Designer
3824,Opening for Oracle EBS Discrete Manufacturing _ Hyderabad,8 - 10 yrs,WIP| Discrete Manufacturing| Oracle E - business Suite| Project Implementation| BoM| Costing| Inventory,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3825,Director -Direct Tax,15 - 20 yrs,Networking| Direct tax| Consulting| International taxation| Company law| Tax planning| Financial services| Foreign exchange| Corporate taxation,Accounts,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Taxation(Direct) Manager
3826,Tele Sales Associate,1 - 3 yrs,Telesales| International voice process| Sales Associate| Corporate,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Consumer Electronics, Appliances, Durables",Telecalling/Telemarketing Executive
3827,Sales Engineer for Bangalore - Heating Division,4 - 5 yrs,Sales Engineering| Capital Equipments| Electricals| Electronics Engineering| Sales,After Sales Service,Baltimore,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Service Engineer
3829,HR Recruiter,1 - 3 yrs,interviewing| resourcing| hr recruiter| screening| hiring| recruiter| training| hr| interview coordination| sourcing| staffing| talent acquisition| recruitment consultant| recruitment| recruitment executive| hr recruitment| non it recruitment| mba fresher,HR/ Recruitment / IR,Baltimore,"HR , Recruitment , Administration , IR","Banking, Financial Services, Broking",Recruitment Executive
3830,Customer Support Role - Voice Process,0 - 5 yrs,BPO| Customer Support| Customer Service| Customer Care| Voice Support,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3831,Associate Security Consultant,0 - 4 yrs,malware analysis| Data analysis| PDF| cyber security| Intrusion detection| SIEM| Log analysis| Antivirus| Subject Matter Expert| IPS,Admin/Maintenance/Security/Datawarehousing,Baltimore,"IT Software - Network Administration , Security","IT-Software, Software Services",System Security
3832,Customer Support,0 - 1 yrs,Customer support,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations",IT-Hardware & Networking,Associate/Senior Associate -(NonTechnical)
3833,Lead Infrastr Engineer,4 - 6 Years,ISERIES|AS400|Identity Access Management|Information Security|System Administration|Access Management,Programming & Design,Baltimore,"IT Software - Network Administration , Security",IT-Software / Software Services,Team Lead/Technical Lead
3834,Software Engineer - Composable Fabric Manager,1 - 6 yrs,Javascript| Linux| Automation|Python| VMware| Open source| cisco| Virtualization| Computer science| GIT,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3835,Manager - Performancec Marketing,5 - 10 yrs,Digital Marketing| Digital Strategy| Digital Campaigns| Social Media| PPC| ROI| Customer Experience| Market Data| Requirement Gathering,Online/Digital Marketing,Baltimore,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Search Engine Optimisation /SEO Lead
3836,Senior Manager Sales (real Estate),5 - 8 yrs,sales management| Sales| Real Estate| property| estate| sales strategy| Channel Sales| residential sales,Retail Sales,Baltimore,"Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
3838,Financial Modeling & Research- Location- Florida,1 - 6 yrs,valuation| equity research| business modeling| financial modelling,Investment Banking,Baltimore,"Financial Services , Banking , Investments , Insurance","KPO, Research, Analytics",Equity Analyst
3839,Construction Head,15 - 18 yrs,logistics| site| construction head| pre| set| resource| target| activities| residential| preparation | Construction Head,Site Engineering,Baltimore,"Site Engineering , Project Management","Recruitment, Staffing",Construction-Construction Management
3840,"Urgent!! Manager - Inside Sales, Florida",1 - 4 yrs,lead generation| client relationship| crm| market research| presales| account management| sales strategy| it sales| inside sales| Vendor Management,Channel Sales,Baltimore,"Sales , Retail , Business Development","IT-Software, Software Services",Client Relationship Manager
3841,Pega Developer,5 - 7 yrs,Business Process Outsourcing| Unit Testing| Information Technology| Communication Skills| Agile Development| Written Communication| Software Engineering| Quality Assurance,Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3842,Senior Sales Manager,3 - 8 yrs,Computer science| Solution sales| Cold calling| MIN| Senior management| Presales| Business presentations| Product sales| Business Executive,Corporate Sales,Baltimore,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
3843,Company Secretary - Trainees,0 - 1 yrs,Administration| Report Generation| Mortgage| Analysts| Data Entry| Risk Management,Senior Management,Baltimore,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Company Secretary
3844,International Chat Process,1 - 6 yrs,BPO| Telecom billing| Front office| Executive| ITES,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
3845,Tata Tele Services Outbound Sales Process Location:Chandigarh,2 - 7 yrs,BPO| Outbound sales| Sales process,Voice,Baltimore,"ITES , BPO , KPO , LPO , Customer Service , Operations",Insurance,Telecalling/Telemarketing Executive
3846,Corporate Trainer - Citrix,3 - 8 yrs,Corporate Training| citrix| xenapp,Other,Baltimore,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Trainer/Faculty
3847,UI & UX Developer,2 - 5 yrs,UI & UX Developer (Arizona),Programming & Design,Baltimore,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
3848,Web Developer /php Developer,3 - 8 yrs,Browser compatibility| jQuery| Web services| Technical| Javascript| Programming| PHP| HTML| bootstrap| Business Executive,Programming & Design,Baltimore,IT Software - Other,"Media, Entertainment, Internet",Software Developer
